FundClassId,Symbol,DisplayName,CategoryName,InceptionDate,PriceDate,MSPrice,csrsPrice,ourkuPrice,PerformanceId
0P0000J1PV,968009,建银国际-国策主导基金,中国股票,2009/1/21,2018/6/19,,,,0P0000J1PV
0P0000NO9A,486002,工银全球精选股票(QDII),环球股票,2010/5/25,2018/6/19,,,,0P0000NO9A
0P0000NPVT,80006,长盛环球行业混合(QDII),环球股债混合,2010/5/26,2018/6/19,,,,0P0000NPVT
0P0000NR3K,50014,博时创业成长混合A,激进配置型基金,2010/6/1,2018/6/19,,1.892,1.892,0P0000NR3K
0P0000O2VJ,161210,国投瑞银新兴市场股票(QDII-LOF),新兴市场股票,2010/6/10,2018/6/19,,,,0P0000O2VJ
0P0000OP9O,50015,博时大中华亚太精选股票(QDII) -人民币,亚太区不包括日本股票,2010/7/27,2018/6/19,,,,0P0000OP9O
0P0000OP9P,519095,新华行业周期轮换混合,激进配置型基金,2010/7/21,2018/6/19,,,1.538,0P0000OP9P
0P0000OQ3W,50016,博时宏观回报债券 - A,激进债券型基金,2010/7/27,2018/6/19,,1.137,1.137,0P0000OQ3W
0P0000OQ3Y,50116,博时宏观回报债券 - C,激进债券型基金,2010/7/27,2018/6/19,,1.131,1.131,0P0000OQ3Y
0P0000PO6K,539001,建信全球机遇混合QDII,环球股债混合,2010/9/14,2018/6/19,,,,0P0000PO6K
0P0000PPFK,40018,华安香港精选股票(QDII),大中华区股票,2010/9/19,2018/6/19,,,,0P0000PPFK
0P0000PRQJ,206006,鹏华环球发现(QDII-FOF),环球股票,2010/10/12,2018/6/19,,,,0P0000PRQJ
0P0000PVB2,100050,富国全球债券(QDII-FOF),环球债券,2010/10/20,2018/6/19,,,,0P0000PVB2
0P0000Q2U2,50018,博时行业轮动混合,激进配置型基金,2010/12/10,2018/6/19,,1.138,1.138,0P0000Q2U2
0P0000Q5ZF,50019,博时转债增强债券A,可转债基金,2010/11/24,2018/6/19,,1.2,1.2,0P0000Q5ZF
0P0000Q5ZG,50119,博时转债增强债券C,可转债基金,2010/11/24,2018/6/19,,1.179,1.179,0P0000Q5ZG
0P0000Q6RV,460010,华泰柏瑞亚洲领导企业混合(QDII),亚洲股债混合,2010/12/2,2018/6/19,,,,0P0000Q6RV
0P0000Q70T,161815,银华抗通胀主题(QDII-FOF-LOF),商品,2010/12/6,2018/6/19,,,,0P0000Q70T
0P0000Q722,160121,南方金砖四国指数(QDII),新兴市场股票,2010/12/9,2018/6/19,,,,0P0000Q722
0P0000RQ83,165510,信诚金砖四国积极配置(QDII-FOF-LOF),新兴市场股票,2010/12/17,2018/6/19,,,,0P0000RQ83
0P0000RW1L,320013,诺安全球黄金(QDII-FOF),商品,2011/1/13,2018/6/19,,,,0P0000RW1L
0P0000RYG3,519602,海富通大中华精选混合QDII,大中华区股债混合,2011/1/27,2018/6/19,,,,0P0000RYG3
0P0000S1IT,161714,招商标普金砖四国指数(QDII-LOF),新兴市场股票,2011/2/11,2018/6/19,,,,0P0000S1IT
0P0000S1IW,519097,新华中小市值优选混合,激进配置型基金,2011/1/28,2018/6/19,,,1.329,0P0000S1IW
0P0000S1OX,378006,上投摩根全球新兴市场混合(QDII),全球新兴市场股债混合,2011/1/30,2018/6/19,,,,0P0000S1OX
0P0000S1P3,163813,中银全球策略(QDII-FOF),环球股票,2011/3/3,2018/6/19,,,,0P0000S1P3
0P0000SEJP,96001,大成标普500等权重指数(QDII),美国股票,2011/3/23,2018/6/19,,,,0P0000SEJP
0P0000SHVR,519981,长信美国标准普尔100等权重指数增强(QDII),美国股票,2011/3/30,2018/6/19,,,,0P0000SHVR
0P0000SLRM,161116,易方达黄金主题(QDII-LOF-FOF),商品,2011/5/6,2018/6/19,,,,0P0000SLRM
0P0000SOH1,50020,博时抗通胀增强回报(QDII-FOF),商品,2011/4/25,2018/6/19,,,,0P0000SOH1
0P0000SOSM,240018,华宝可转债债券,可转债基金,2011/4/27,2018/6/19,,0.8473,0.8473,0P0000SOSM
0P0000SVER,40021,华安大中华升级股票(QDII),大中华区股票,2011/5/17,2018/6/19,,,,0P0000SVER
0P0000SVXI,160512,博时卓越品牌混合(LOF),激进配置型基金,2011/4/22,2018/6/19,,1.585,1.585,0P0000SVXI
0P0000SXP3,159908,博时深证基本面200ETF,股票型基金,2011/6/10,2018/6/19,,1.3506,1.3506,0P0000SXP3
0P0000SXP4,50021,博时深证基本面200ETF联接,股票型基金,2011/6/10,2018/6/19,,1.3125,1.3125,0P0000SXP4
0P0000TDAO,270027,广发标普全球农业指数(QDII),行业股票,2011/6/28,2018/6/19,,,,0P0000TDAO
0P0000TDAS,539002,建信新兴市场优选混合QDII,全球新兴市场股债混合,2011/6/21,2018/6/19,,,,0P0000TDAS
0P0000TFQT,519099,新华灵活主题混合,激进配置型基金,2011/7/13,2018/6/19,,,1.351,0P0000TFQT
0P0000THMO,100055,富国全球顶级消费品混合(QDII),环球股债混合,2011/7/13,2018/6/19,,,,0P0000THMO
0P0000TKYQ,240019,华宝上证180成长ETF联接,股票型基金,2011/8/9,2018/6/19,,1.682,1.682,0P0000TKYQ
0P0000TKYR,160719,嘉实黄金(QDII-FOF-LOF),商品,2011/8/4,2018/6/19,,,,0P0000TKYR
0P0000TPYI,164701,汇添富黄金及贵金属 (QDII-LOF-FOF),商品,2011/8/31,2018/6/19,,,,0P0000TPYI
0P0000TVAH,320017,诺安全球收益不动产(QDII),行业股票,2011/9/23,2018/6/19,,,,0P0000TVAH
0P0000TVAI,262001,景顺长城大中华混合(QDII),大中华区股债混合,2011/9/22,2018/6/19,,,,0P0000TVAI
0P0000TXCM,163208,诺安油气能源(QDII-FOF-LOF ),行业股票,2011/9/27,2018/6/19,,,,0P0000TXCM
0P0000TXJW,50022,博时回报混合,标准混合型基金,2011/11/8,2018/6/19,,0.911,0.911,0P0000TXJW
0P0000TYLU,162411,华宝油气(QDII-LOF),行业股票,2011/9/29,2018/6/19,,,,0P0000TYLU
0P0000UDWE,206011,鹏华美国房地产 (QDII),环球股债混合,2011/11/25,2018/6/19,,,,0P0000UDWE
0P0000UIFB,165513,信诚全球商品主题(QDII-FOF-LOF),商品,2011/12/20,2018/6/19,,,,0P0000UIFB
0P0000V0BF,457001,国富亚洲机会股票 (QDII),亚太区不包括日本股票,2012/2/22,2018/6/19,,,,0P0000V0BF
0P0000V437,50023,博时天颐债券A,激进债券型基金,2012/2/29,2018/6/19,,1.199,1.199,0P0000V437
0P0000V438,50123,博时天颐债券C,激进债券型基金,2012/2/29,2018/6/19,,1.167,1.167,0P0000V438
0P0000VE3B,378546,上投摩根全球天然资源混合(QDII),环球股债混合,2012/3/26,2018/6/19,,,,0P0000VE3B
0P0000VGFD,160416,华安标普全球石油指数 (QDII-LOF),行业股票,2012/3/29,2018/6/19,,,,0P0000VGFD
0P0000VH6V,510410,博时上证自然资源ETF,股票型基金,2012/4/10,2018/6/19,,0.6783,0.6783,0P0000VH6V
0P0000VH6W,50024,博时上证自然资源ETF联接,股票型基金,2012/4/10,2018/6/19,,0.6633,0.6633,0P0000VH6W
0P0000VQF7,160216,国泰大宗商品配置QDII-LOF-FOF,商品,2012/5/3,2018/6/19,,,,0P0000VQF7
0P0000VSY0,519709,交银全球自然资源混合(QDII),环球股债混合,2012/5/22,2018/6/19,,,,0P0000VSY0
0P0000VYEJ,118002,易方达标普全球高端消费品指数增强A(QDII) - 人民币,行业股票,2012/6/4,2018/6/19,,,,0P0000VYEJ
0P0000W3BO,50025,博时标普500ETF联接(QDII)A,美国股票,2012/6/14,2018/6/19,,,,0P0000W3BO
0P0000W40Z,519150,新华优选消费混合,激进配置型基金,2012/6/13,2018/6/19,,,1.347,0P0000W40Z
0P0000W46M,40030,华安季季鑫短期理财债券A,短债基金（封闭式）,2012/5/23,2018/6/19,,,,0P0000W46M
0P0000W46N,40031,华安季季鑫短期理财债券B,短债基金（封闭式）,2012/5/23,2018/6/19,,,,0P0000W46N
0P0000W8O5,539003,建信全球资源混合(QDII),环球股债混合,2012/6/26,2018/6/19,,,,0P0000W8O5
0P0000WDM0,70031,嘉实全球房地产(QDII),行业股票,2012/7/24,2018/6/19,,,,0P0000WDM0
0P0000WFM5,110031,易方达恒生中国企业ETF联接A,大中华区股票,2012/8/21,2018/6/19,,,1.1545,0P0000WFM5
0P0000WG53,270042,广发纳斯达克100指数QDII,美国股票,2012/8/15,2018/6/19,,,,0P0000WG53
0P0000WH53,270043,广发理财年年红债券,短债基金（封闭式）,2012/7/19,2018/6/19,,,,0P0000WH53
0P0000WH54,50026,博时医疗保健行业混合A,激进配置型基金,2012/8/28,2018/6/19,,1.628,1.628,0P0000WH54
0P0000WM6L,50027,博时信用债纯债债券A,纯债基金,2012/9/7,2018/6/19,,1.061,1.061,0P0000WM6L
0P0000WMSD,100061,富国中国中小盘混合(QDII),大中华区股债混合,2012/9/4,2018/6/19,,,,0P0000WMSD
0P0000WNB7,519118,浦银安盛幸福回报债券 - A,纯债基金（封闭式）,2012/9/18,2018/6/19,,,,0P0000WNB7
0P0000WNB8,519119,浦银安盛幸福回报债券 - B,纯债基金（封闭式）,2012/9/18,2018/6/19,,,,0P0000WNB8
0P0000WTAY,110032,易方达恒生国企联接(QDII)美元现汇,大中华区股票,2012/8/21,2018/6/19,,,0.1797,0P0000WTAY
0P0000WUZJ,110033,易方达恒生国企联接(QDII)美元现钞,大中华区股票,2012/8/21,2018/6/19,,,0.1797,0P0000WUZJ
0P0000X6Z7,420009,天弘安康颐养混合,保守混合型基金,2012/11/28,2018/6/19,,1.508,1.508,0P0000X6Z7
0P0000X81B,50028,博时安心收益定期开放债券A,纯债基金（封闭式）,2012/12/6,2018/6/19,,,,0P0000X81B
0P0000X81C,50128,博时安心收益定期开放债券C,纯债基金（封闭式）,2012/12/6,2018/6/19,,,,0P0000X81C
0P0000XB5R,1061,华夏海外收益债券(QDII) - A 人民币,环球债券,2012/12/7,2018/6/19,,,,0P0000XB5R
0P0000XB5S,1065,华夏海外收益债券(QDII) - A 美元现汇,环球债券,2012/12/7,2018/6/19,,,,0P0000XB5S
0P0000XB5T,1063,华夏海外收益债券(QDII) - C 人民币,环球债券,2012/12/7,2018/6/19,,,,0P0000XB5T
0P0000XF7O,519152,新华纯债添利债券 - A,纯债基金,2012/12/21,2018/6/19,,,1.409,0P0000XF7O
0P0000XF7P,519153,新华纯债添利债券 - C,纯债基金,2012/12/21,2018/6/19,,,1.38,0P0000XF7P
0P0000XRXI,100072,富国强回报定期开放债券A,纯债基金（封闭式）,2013/1/29,2018/6/19,,,,0P0000XRXI
0P0000XRXJ,100073,富国强回报定期开放债券C,纯债基金（封闭式）,2013/1/29,2018/6/19,,,,0P0000XRXJ
0P0000XUP1,161620,融通丰利四分法(QDII-FOF),环球股债混合,2013/2/5,2018/6/19,,,,0P0000XUP1
0P0000XUWJ,50030,博时亚洲票息收益债券QDII - 人民币,环球债券,2013/2/1,2018/6/19,,,,0P0000XUWJ
0P0000XUWK,50202,博时亚洲票息收益债券QDII - 美元现汇,环球债券,2013/2/1,2018/6/19,,,,0P0000XUWK
0P0000XWBR,50203,博时亚洲票息收益债券QDII - 美元现钞,环球债券,2013/2/1,2018/6/19,,,,0P0000XWBR
0P0000Y3WQ,49,中银标普全球精选自然资源等权重指数(QDII),行业股票,2013/3/19,2018/6/19,,,,0P0000Y3WQ
0P0000Y4CW,163210,诺安纯债定期开放债券 - A,纯债基金（封闭式）,2013/3/27,2018/6/19,,,1.091,0P0000Y4CW
0P0000Y4CX,163211,诺安纯债定期开放债券 - C,纯债基金（封闭式）,2013/3/27,2018/6/19,,,1.082,0P0000Y4CX
0P0000YCIN,84,博时安盈债券A,纯债基金,2013/4/23,2018/6/19,,1.163,1.163,0P0000YCIN
0P0000YCIO,85,博时安盈债券C,纯债基金,2013/4/23,2018/6/19,,1.142,1.142,0P0000YCIO
